property_type,room_type,accommodates,bathrooms,city,number_of_reviews,log_price
Apartment,Private room,2,1.0,NYC,27,4.49980967
Condominium,Private room,1,1.0,Boston,0,5.129898715
House,Entire home/apt,4,1.0,LA,0,5.4161004020000005
Apartment,Entire home/apt,2,1.0,LA,20,4.553876892
Apartment,Entire home/apt,6,1.0,NYC,113,6.109247582999999
House,Private room,2,1.0,SF,26,4.787491743
Apartment,Entire home/apt,2,1.0,SF,3,4.553876892
Apartment,Entire home/apt,2,1.0,NYC,0,4.49980967
Apartment,Entire home/apt,10,3.0,DC,85,6.396929655
Apartment,Private room,2,1.0,NYC,28,4.17438727
Apartment,Private room,2,1.0,LA,2,4.127134385
Apartment,Entire home/apt,3,1.0,LA,91,4.8978398
Apartment,Entire home/apt,5,1.0,NYC,42,5.631211782
Apartment,Entire home/apt,6,2.0,Chicago,7,5.8579331539999995
Apartment,Entire home/apt,4,1.0,NYC,49,4.59511985
Apartment,Entire home/apt,2,1.0,DC,27,5.192956851
Townhouse,Entire home/apt,6,2.0,NYC,11,5.703782475
Apartment,Entire home/apt,6,2.0,Boston,3,5.926926026
Apartment,Entire home/apt,6,2.0,Chicago,19,4.86753445
House,Private room,2,1.0,LA,9,4.442651256
Apartment,Entire home/apt,2,1.0,NYC,27,5.105945473999999
Apartment,Entire home/apt,4,1.0,NYC,0,5.164785974
House,Private room,4,1.5,NYC,43,3.912023005
Apartment,Entire home/apt,4,1.0,NYC,4,4.828313737
Apartment,Private room,1,1.0,NYC,8,3.583518938
Apartment,Entire home/apt,4,1.0,NYC,1,5.010635294
Apartment,Entire home/apt,2,1.0,SF,9,4.543294782
Apartment,Entire home/apt,3,1.0,DC,95,4.59511985
Townhouse,Entire home/apt,4,1.0,NYC,137,4.8598124039999995
Apartment,Entire home/apt,4,1.0,NYC,21,5.164785974
Apartment,Entire home/apt,4,1.0,LA,0,4.941642423
Townhouse,Private room,2,2.0,NYC,14,4.8598124039999995
Apartment,Entire home/apt,1,1.0,NYC,3,5.0039463060000005
Apartment,Private room,1,1.0,LA,0,3.688879454
Apartment,Entire home/apt,4,1.0,LA,114,4.8598124039999995
Apartment,Private room,1,1.0,NYC,0,3.401197382
House,Private room,2,2.5,LA,5,4.317488114
Apartment,Entire home/apt,4,1.0,NYC,16,5.0039463060000005
Apartment,Entire home/apt,2,1.0,NYC,6,5.272999559
Apartment,Entire home/apt,4,2.0,NYC,3,5.4161004020000005
Apartment,Private room,2,1.0,Chicago,129,4.007333185
Apartment,Entire home/apt,2,1.0,LA,2,4.86753445
Apartment,Entire home/apt,2,1.0,NYC,1,4.382026635
Apartment,Entire home/apt,2,1.0,NYC,1,5.010635294
